"Date","Address","lat","lon","Killed","Injured","Content"
2014-03-23,"2700 Majesty Drive, Arlington, Texas",32.7546259,-97.0607784,1,3,"<b>Date: </b>2014-03-23<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>2700 Majesty Drive, Arlington, Texas"
2014-03-23,"601 Long Beach Boulevard, Long Beach, California",33.7744168,-118.1897475,1,3,"<b>Date: </b>2014-03-23<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>601 Long Beach Boulevard, Long Beach, California"
2014-03-23,"Turk and Taylor, San Francisco, California",37.7832142,-122.4107842,0,7,"<b>Date: </b>2014-03-23<br/><b>Killed: </b>0<br/><b>Injured: </b>7<br/><b>Location: </b>Turk and Taylor, San Francisco, California"
2014-03-30,"N/A, Starkville, Mississippi",33.4503998,-88.8183872,0,5,"<b>Date: </b>2014-03-30<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>N/A, Starkville, Mississippi"
2014-03-30,"4300 Sunset Road, Charlotte, North Carolina",35.305418,-80.8569134,0,5,"<b>Date: </b>2014-03-30<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>4300 Sunset Road, Charlotte, North Carolina"
2014-04-02,"Motor Pool Road and Tank Destroyer Boulevard, Fort Hood, Texas",31.1329784,-97.7944469,4,16,"<b>Date: </b>2014-04-02<br/><b>Killed: </b>4<br/><b>Injured: </b>16<br/><b>Location: </b>Motor Pool Road and Tank Destroyer Boulevard, Fort Hood, Texas"
2014-04-05,"4300 W Wilcox Street, Chicago, Illinois",41.879032,-87.733109,1,5,"<b>Date: </b>2014-04-05<br/><b>Killed: </b>1<br/><b>Injured: </b>5<br/><b>Location: </b>4300 W Wilcox Street, Chicago, Illinois"
2014-04-05,"West Palm Lane near 54th Avenue, Phoenix, Arizona",33.7249979,-112.1770079,1,3,"<b>Date: </b>2014-04-05<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>West Palm Lane near 54th Avenue, Phoenix, Arizona"
2014-04-05,"Orchid Street , Fairfield, California",38.278664,-122.036953,0,4,"<b>Date: </b>2014-04-05<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Orchid Street , Fairfield, California"
2014-04-06,"90 Worthington St., Springfield, Massachusetts",42.1031315,-72.5936484,0,4,"<b>Date: </b>2014-04-06<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>90 Worthington St., Springfield, Massachusetts"
2014-04-07,"500 block of South Alexander Street, New Orleans, Louisiana",29.9733942,-90.1072415,0,4,"<b>Date: </b>2014-04-07<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>500 block of South Alexander Street, New Orleans, Louisiana"
2014-04-09,"Kellys Ferry Road and Kellys Ferry Place, Lookout Valley, Tennessee",35.0283093,-85.4072606,3,1,"<b>Date: </b>2014-04-09<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>Kellys Ferry Road and Kellys Ferry Place, Lookout Valley, Tennessee"
2014-04-09,"300 North Sunset, Rockford, Illinois",42.2787689,-89.1183927,0,4,"<b>Date: </b>2014-04-09<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>300 North Sunset, Rockford, Illinois"
2014-04-12,"2100 block of Pauger Street, New Orleans, Louisiana",29.9715019,-90.0607641,1,3,"<b>Date: </b>2014-04-12<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>2100 block of Pauger Street, New Orleans, Louisiana"
2014-04-14,"1500 block of 19th Street, Washington, District of Columbia",38.8718625,-76.9773522,0,4,"<b>Date: </b>2014-04-14<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>1500 block of 19th Street, Washington, District of Columbia"
2014-04-20,"1300 block of Jackson St, Montgomery, Illinois",41.7288519,-88.310435,0,6,"<b>Date: </b>2014-04-20<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>1300 block of Jackson St, Montgomery, Illinois"
2014-04-20,"2902 N. 32nd St., Tampa, Florida",27.9704295,-82.4248819,2,2,"<b>Date: </b>2014-04-20<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>2902 N. 32nd St., Tampa, Florida"
2014-04-20,"6600 South Michigan Ave, Chicago, Illinois",41.774825,-87.6230991,0,5,"<b>Date: </b>2014-04-20<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>6600 South Michigan Ave, Chicago, Illinois"
2014-04-22,"6419 Brynhurst Avenue, Los Angeles, California",33.9810869,-118.3341641,1,3,"<b>Date: </b>2014-04-22<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>6419 Brynhurst Avenue, Los Angeles, California"
2014-04-25,"2000 Chelsea Avenue, Memphis, Tennessee",35.1734373,-89.9906671,2,3,"<b>Date: </b>2014-04-25<br/><b>Killed: </b>2<br/><b>Injured: </b>3<br/><b>Location: </b>2000 Chelsea Avenue, Memphis, Tennessee"
2014-04-27,"Fourth Street, Troy, New York",42.7207906,-73.6913153,0,5,"<b>Date: </b>2014-04-27<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>Fourth Street, Troy, New York"
2014-04-29,"1675 Airport Road, Kennesaw, Georgia",34.0087516,-84.601103,1,6,"<b>Date: </b>2014-04-29<br/><b>Killed: </b>1<br/><b>Injured: </b>6<br/><b>Location: </b>1675 Airport Road, Kennesaw, Georgia"
2014-04-30,"7200 South Phillips Avenue, Chicago, Illinois",41.7644081,-87.5657674,0,4,"<b>Date: </b>2014-04-30<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>7200 South Phillips Avenue, Chicago, Illinois"
2014-05-04,"500 West Erie Street, Chicago, Illinois",41.8938944,-87.6414409,1,3,"<b>Date: </b>2014-05-04<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>500 West Erie Street, Chicago, Illinois"
2014-05-04,"12100 W 44th, Wheat Ridge, Colorado",39.7774773,-105.1342236,0,4,"<b>Date: </b>2014-05-04<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>12100 W 44th, Wheat Ridge, Colorado"
